reviewId,userName,content,score,Sentiment,Anger,Reply
a17a3141-1a99-4b06-a22c-7f6fc3b647f9,Abhilesh Vishwakarma,Lauda,1,neutral,False,Thank you for your review of Lauda. We appreciate your feedback and hope to see you again soon.
538e36a9-d711-4eae-806f-7eca89251537,Babu P V,"Worst service weekly once server issues , couldn't able to connect server, Please don't use this app very much pathetic service u can't pay money when needed.",1,negative,True,Thank you for taking the time to share your experience with us. We apologize for the inconvenience caused by the server issues. We suggest reaching out to our customer service team for assistance with any payment issues. We appreciate your feedback and will work to improve our service.
d8daf3fd-db73-49b2-86a3-ece4d7512c65,Aasish Kumar Topno,The App has very limited functionalities and does not help in either navigating or resolving issues. The data submitted is also not easily retrieve and it keeps showing either previous or faulty data,1,negative,False,Thank you for taking the time to share your feedback with us. We apologize for any inconvenience caused by the limited functionalities of our app and the difficulty in retrieving data. We suggest reaching out to our customer service team for further assistance in resolving any issues you may have. We appreciate your feedback and will use it to improve our services.
0eecc995-9877-45a8-b4cb-c38f19f7e6d7,Tabrez Alam Azhari,Application is so sloww pls make it fasten ....its not only slow most of time did not open iam trying open but didn't work pls update it,1,negative,False,Thank you for your review. We apologize for the inconvenience you experienced with our application. We suggest reaching out to our customer service team for further assistance with the issue you encountered. We appreciate your feedback and will work to improve the speed and functionality of our app.
99ce3b03-0635-4f2b-a469-79f6bd6bbdfa,Adventure Tunes,ghusat app customer serice v ghusat hay,1,negative,True,Thank you for your review. We apologize for any inconvenience you may have experienced with our customer service. Please feel free to reach out to our customer service team for further assistance.
caab7029-beb3-454f-8960-fe5981c3a124,Prince Raja,Good,2,positive,False,Thank you for your positive review! We appreciate your feedback.
40153147-dc0b-44d2-8db8-9e6c41af9dc3,Sasikumar V,I bought commercial vehicle from kotak Mahindra Bank.. but I paid my due by ICICI Bank. Theirs no option to pay due on kotak bank app. It's so horrible,2,negative,False,Thank you for sharing your experience with us. We apologize for any inconvenience caused. We suggest that you reach out to our customer service team for assistance with payment options. We appreciate your feedback and hope to serve you better in the future.
f8b7406c-8a9c-4718-a5e9-f9b3f8614668,Shashank Tekade,App opening and loading is very slow even on faster internet connections compared to other banking apps,2,negative,False,Thank you for taking the time to share your experience with us. We apologize for any inconvenience caused by the slow app opening and loading. We suggest reaching out to our customer service team for further assistance. We appreciate your feedback and will work to improve our app's performance.
4a775352-4633-4e8b-8d28-afe87476f20a,Mayank Tyagi,Very slow app,2,negative,False,Thank you for your review. We apologize for the inconvenience caused by the slow app. Please feel free to reach out to our customer service team for further assistance.
f71e579b-2698-4005-846c-f18db92bfef9,S. Manohar,"App look like old version , It appears like an old app...It's not good looking,and the information is also look like uncomfortable.",2,negative,False,"Thank you for your review. We apologize for any inconvenience caused by the appearance of our app. We are constantly working to improve our design and user experience. If you have any specific suggestions or concerns, please feel free to reach out to our customer service team for assistance. Thank you for your feedback."
4a4997c3-d802-45b9-ba15-415e7b3ade81,Rajesh Kumar Singh,Nice & useful,3,positive,False,Thank you for your positive review! We're glad to hear that you found our product useful.
5d1edc5d-d51d-4796-bca5-0decdbc80195,Taufik Raza,Nice👌,3,positive,False,Thank you for your positive review! We appreciate your feedback.
e3455c01-34c0-481c-83b6-102709a89ef8,Mohammad ijrail,Very nice,3,positive,False,Thank you for your positive review! We appreciate your feedback.
312005df-56df-4c85-868e-0bb3ee8d8a46,Nishant Churad,Nice,3,positive,False,Thank you for your positive review! We appreciate your feedback.
a5efbf31-a634-4739-a35b-926fc77c531a,Sandesh Satdive,Why app is not working in oppo f3 device this very pathetic I am very disappoint,3,negative,True,We apologize for the inconvenience caused. Please reach out to our customer service team for assistance with the issue you are facing on your Oppo F3 device. Thank you for bringing this to our attention.
