reviewId,userName,content,score,Sentiment,Anger,Reply
bbdd2810-427f-4ad1-afa9-04d90f39408b,sk JAHANGIR,"I already pay full credit card bill but credit card limit is same not working credit card tracking please fix this problem, @axisbank.",1,negative,True,Thank you for bringing this to our attention. We apologize for any inconvenience caused. Please reach out to our customer service team for assistance with your credit card tracking and limit. We value your feedback and will work to resolve this issue as soon as possible. @axisbank
d743df87-646a-4f5f-a349-4f98ad073473,Mohit Malpure,"Unable to update email id Mobile number e-statement activation. Shows message "" We are Facing technical issue. Try again"" It's been a week Support team doesn't know how to talk even after sharing the screenshot",1,negative,True,We apologize for the inconvenience caused by the technical issue you experienced while updating your email and mobile number for e-statement activation. We understand your frustration with the support team's response and would like to assure you that we will investigate this matter further. Please feel free to reach out to our customer service team for further assistance. Thank you for bringing this to our attention.
25099f24-566e-4038-b7a8-52f27fe890a1,Nadeem M,Won't recieve UPI payment requests,1,negative,False,Thank you for your review. We apologize for the inconvenience you have experienced with our UPI payment requests. Please reach out to our customer service team for further assistance with this issue.
beaf1207-ace3-47d6-b935-ee8674cf5a16,VIVEK SINGH,Ridiculous bank,1,negative,False,"Thank you for your review. We apologize for any negative experience you may have had with our bank. If you would like to discuss your concerns further, please reach out to our customer service team. Thank you for your feedback."
8dbf176e-cb0f-445c-bc45-96faf46f61e1,The Decor,"Unpleasent Experience With Axis bank Employee, They Don't have Manner how to interact with Customer.",1,negative,True,Thank you for sharing your experience with us. We apologize for the unpleasant interaction you had with our employee. We take this matter seriously and would like to investigate further. Please reach out to our customer service team so we can assist you further. Thank you for bringing this to our attention.
be00dc49-918c-4f0b-817a-18de755603ec,Sohani Begum,Ajmol,2,neutral,False,"Thank you for your review, Ajmol. We appreciate your feedback."
fbf7f839-b5a7-4df7-be48-48ae08b09122,Saddam Hussain,Can't see view virtual debit card option!!! In the app please solve this issue,2,negative,True,Thank you for bringing this issue to our attention. We apologize for any inconvenience caused. Please reach out to our customer service team for further assistance with this matter.
19145451-5b82-4227-82c3-db4c3f36090c,Kriti Singh,Let Let wwm6,2,neutral,False,"Thank you for your review. However, it seems like there may have been an error in your text. If you have any concerns or feedback, please feel free to reach out to us. We value your input and strive to provide the best possible experience for our customers."
e78c1a28-5490-484c-a635-b66eacc733d3,sonu verma,Why its extra charge for doing IMPS It's much better to use other app they are not charging for IMPS Rupee 5 charge for every IMPS,2,negative,False,"Thank you for your review. We apologize for any inconvenience caused by our IMPS charges. We strive to provide the best service possible and appreciate your feedback. If you have any further concerns, please don't hesitate to reach out to our customer service team for assistance."
3d0ad84f-fadd-4486-8b0a-8868b2456793,Jan V Anil,"Need to Improve User Experience, i think Federal bank and HDFC has better user experience so improve you app Axis bank.",2,negative,False,"Thank you for your review. We apologize for any inconvenience caused. We are constantly working to improve our user experience and appreciate your feedback. If you have any specific suggestions, please feel free to reach out to our customer service team for assistance."
7a5b7442-0fe0-42a5-b170-f9f9d47e7f42,Raghul S Naidu,Old Version is Better,3,negative,False,"Thank you for your review. We're sorry to hear that you preferred the old version. If you have any specific feedback or suggestions, please feel free to reach out to our customer service team for assistance."
1324bddc-f925-44f8-aaa1-a69352f198ca,mangulu patro,Good But Prossing Is Very Slow,3,neutral,False,"Thank you for taking the time to leave a review. We appreciate your feedback and apologize for any inconvenience caused by the slow processing. We will work to improve our processing speed in the future. If you have any further concerns, please don't hesitate to reach out to our customer service team."
47c46afd-4ca9-494a-8c70-49a011d43878,Jyotirmoyee Mitra,Hi don't know where to file complaint... but your application is not working as of today... can you please work on that.,3,negative,True,Thank you for bringing this to our attention. We apologize for any inconvenience caused by the issue with our application. Please reach out to our customer service team for further assistance with resolving the problem.
356215e4-844a-4656-b585-267cc0562b08,Sahil Ahmmed,App is too slow,3,negative,False,Thank you for your review. We apologize for any inconvenience caused by the slow app. Please feel free to reach out to our customer service team for further assistance.
d4ef272a-1831-4acb-863f-6e5b30679209,Rakesh Singh Parihar,Useful app,3,positive,False,Thank you for your positive review! We're glad to hear that our app has been useful for you.
b0387af4-f63c-40c1-9b2b-e555e142b9ba,Katteri Mohanam,good excellent,4,positive,False,Thank you for your positive review! We appreciate your feedback.
f959c040-d0cc-4ba2-96db-680791456548,Venkatesh Venkatesh,good service,4,positive,False,Thank you for your positive review! We are glad to hear that you had a good experience with our service.
aa564389-0e55-4c8f-8202-2e0b646581ab,GANDRAJUPALLI BALASUBRAMANYAM,Okay 👍,4,positive,False,Thank you for your positive review! We appreciate your feedback.
9704d300-68bd-4e90-9ed1-a7df22fd31b3,Chagesh Lanjewar,Good app,4,positive,False,"Thank you for your positive review! We're glad to hear that you find our app good. If you have any suggestions or feedback, please don't hesitate to let us know. We appreciate your support!"
2adc4ed0-8526-48cf-a077-8b2bfbaa9656,Laxman Bariha,best,4,positive,False,Thank you for your positive review! We appreciate your feedback.
4e7f2d71-9f03-4402-ae01-1b63ee4b143a,Dhiraj Singh,Secure and fast service,5,positive,False,Thank you for your positive review! We are glad to hear that you found our service secure and fast. We appreciate your business and hope to continue providing you with excellent service in the future.
c9e8f91a-97b8-4575-8b2b-61592f65e88c,Aniket Kulkarni,Easy to handle,5,positive,False,Thank you for your positive review! We're glad to hear that our product is easy to handle.
28c375ab-f2a8-48a8-99b8-f0e9758704fd,Gowthaman S,Good Experience,5,positive,False,Thank you for sharing your positive experience with us! We appreciate your feedback and hope to continue providing great service to you in the future.
84106d5e-d00b-4b26-97ff-12e2cb6713ae,Jaison Philip,Excellent service from Bineesh Babu,5,positive,False,Thank you for taking the time to leave a positive review about Bineesh Babu's excellent service. We appreciate your feedback and hope to continue providing you with great service in the future.
d4b341a7-c173-46de-854f-df10f8709435,Sathish Gadde,Good,5,,,
